="Summary statistics"
="",="(1)",="",="",="(2)",="",="",="(3)",="",=""
="",="All",="",="",="Three years old",="",="",="Four years old",="",=""
="",="N",="Mean",="Median",="N",="Mean",="Median",="N",="Mean",="Median"
="EC6",="2517",="0.10",="0.00",="1224",="0.06",="0.00",="1293",="0.14",="0.00"
="EC7",="2517",="0.11",="0.00",="1224",="0.08",="0.00",="1293",="0.13",="0.00"
="EC8",="2517",="0.18",="0.00",="1224",="0.11",="0.00",="1293",="0.25",="0.00"
="EC9",="2517",="0.92",="1.00",="1224",="0.91",="1.00",="1293",="0.93",="1.00"
="EC10",="2517",="0.39",="0.00",="1224",="0.40",="0.00",="1293",="0.38",="0.00"
="EC11",="2517",="0.87",="1.00",="1224",="0.84",="1.00",="1293",="0.89",="1.00"
="EC12",="2517",="0.74",="1.00",="1224",="0.71",="1.00",="1293",="0.77",="1.00"
="EC13",="2517",="0.96",="1.00",="1224",="0.96",="1.00",="1293",="0.96",="1.00"
="EC14",="2517",="0.49",="0.00",="1224",="0.51",="1.00",="1293",="0.47",="0.00"
="EC15",="2517",="0.37",="0.00",="1224",="0.38",="0.00",="1293",="0.37",="0.00"
="Summary statistics for child development indices"
="",="(1)",="",="",="(2)",="",="",="(3)",="",=""
="",="All",="",="",="Three years old",="",="",="Four years old",="",=""
="",="N",="Mean",="Median",="N",="Mean",="Median",="N",="Mean",="Median"
="Index",="2517",="0.51",="0.50",="1224",="0.50",="0.50",="1293",="0.53",="0.50"
="Index - Math",="2517",="0.18",="0.00",="1224",="0.11",="0.00",="1293",="0.25",="0.00"
="Index - Literacy and Math",="2517",="0.13",="0.00",="1224",="0.08",="0.00",="1293",="0.17",="0.00"
="Index - Physical",="2517",="0.65",="0.50",="1224",="0.65",="0.50",="1293",="0.65",="0.50"
="Index - Learning",="2517",="0.80",="1.00",="1224",="0.77",="1.00",="1293",="0.83",="1.00"
="Index - Socio-emotional",="2517",="0.61",="0.67",="1224",="0.61",="0.67",="1293",="0.60",="0.67"
